"month_id","case_id","count","departamento_std","violence_type","month_start"
"2026-03",NA,7,"risaralda","extortion",2026-03-01
"2026-03",NA,66,"valle del cauca","extortion",2026-03-01
"2026-03",NA,48,"meta","extortion",2026-03-01
"2026-03",NA,10,"caqueta","extortion",2026-03-01
"2026-03",NA,61,"bogota d.c.","extortion",2026-03-01
"2026-03",NA,14,"sucre","extortion",2026-03-01
"2026-03",NA,38,"bolivar","extortion",2026-03-01
"2026-03",NA,17,"norte de santander","extortion",2026-03-01
"2026-03",NA,20,"tolima","extortion",2026-03-01
"2026-03",NA,66,"antioquia","extortion",2026-03-01
"2026-03",NA,16,"huila","extortion",2026-03-01
"2026-03",NA,14,"cauca","extortion",2026-03-01
"2026-03",NA,18,"la guajira","extortion",2026-03-01
"2026-03",NA,26,"cesar","extortion",2026-03-01
"2026-03",NA,9,"choco","extortion",2026-03-01
"2026-03",NA,15,"casanare","extortion",2026-03-01
"2026-03",NA,4,"boyaca","extortion",2026-03-01
"2026-03",NA,84,"atlantico","extortion",2026-03-01
"2026-03",NA,16,"magdalena","extortion",2026-03-01
"2026-03",NA,7,"quindio","extortion",2026-03-01
"2026-03","arauca",7,"arauca","extortion",2026-03-01
"2026-03",NA,9,"nariño","extortion",2026-03-01
"2026-03",NA,9,"cundinamarca","extortion",2026-03-01
"2026-03","buenaventura",6,"valle del cauca","extortion",2026-03-01
"2026-03",NA,14,"santander","extortion",2026-03-01
"2026-03",NA,1,"guainia","extortion",2026-03-01
"2026-03",NA,1,"san andres islas","extortion",2026-03-01
"2026-03",NA,6,"cordoba","extortion",2026-03-01
"2026-03",NA,1,"vichada","extortion",2026-03-01
"2026-03",NA,5,"caldas","extortion",2026-03-01
"2026-03",NA,1,"guaviare","extortion",2026-03-01
"2026-02",NA,33,"cesar","extortion",2026-02-01
"2026-02","arauca",14,"arauca","extortion",2026-02-01
"2026-02",NA,105,"atlantico","extortion",2026-02-01
"2026-02",NA,169,"bogota d.c.","extortion",2026-02-01
"2026-02",NA,47,"cauca","extortion",2026-02-01
"2026-02",NA,122,"valle del cauca","extortion",2026-02-01
"2026-02",NA,43,"bolivar","extortion",2026-02-01
"2026-02",NA,59,"meta","extortion",2026-02-01
"2026-02",NA,43,"tolima","extortion",2026-02-01
"2026-02",NA,117,"antioquia","extortion",2026-02-01
"2026-02",NA,2,"putumayo","extortion",2026-02-01
"2026-02",NA,27,"sucre","extortion",2026-02-01
"2026-02",NA,36,"cundinamarca","extortion",2026-02-01
"2026-02",NA,39,"norte de santander","extortion",2026-02-01
"2026-02",NA,23,"nariño","extortion",2026-02-01
"2026-02",NA,5,"cordoba","extortion",2026-02-01
"2026-02",NA,26,"santander","extortion",2026-02-01
"2026-02",NA,11,"caqueta","extortion",2026-02-01
"2026-02",NA,34,"choco","extortion",2026-02-01
"2026-02",NA,29,"la guajira","extortion",2026-02-01
"2026-02",NA,26,"magdalena","extortion",2026-02-01
"2026-02",NA,29,"huila","extortion",2026-02-01
"2026-02",NA,11,"casanare","extortion",2026-02-01
"2026-02",NA,16,"boyaca","extortion",2026-02-01
"2026-02",NA,7,"caldas","extortion",2026-02-01
"2026-02","buenaventura",9,"valle del cauca","extortion",2026-02-01
"2026-02",NA,8,"risaralda","extortion",2026-02-01
"2026-02",NA,2,"quindio","extortion",2026-02-01
"2026-02",NA,2,"san andres islas","extortion",2026-02-01
"2026-02",NA,6,"guaviare","extortion",2026-02-01
"2026-01",NA,184,"bogota d.c.","extortion",2026-01-01
"2026-01",NA,135,"valle del cauca","extortion",2026-01-01
"2026-01",NA,64,"meta","extortion",2026-01-01
"2026-01",NA,36,"tolima","extortion",2026-01-01
"2026-01",NA,18,"nariño","extortion",2026-01-01
"2026-01",NA,167,"antioquia","extortion",2026-01-01
"2026-01",NA,113,"atlantico","extortion",2026-01-01
"2026-01",NA,11,"caldas","extortion",2026-01-01
"2026-01",NA,18,"risaralda","extortion",2026-01-01
"2026-01",NA,34,"cauca","extortion",2026-01-01
"2026-01",NA,4,"cordoba","extortion",2026-01-01
"2026-01",NA,1,"guaviare","extortion",2026-01-01
"2026-01",NA,24,"sucre","extortion",2026-01-01
"2026-01",NA,35,"magdalena","extortion",2026-01-01
"2026-01",NA,52,"norte de santander","extortion",2026-01-01
"2026-01",NA,31,"la guajira","extortion",2026-01-01
"2026-01","arauca",8,"arauca","extortion",2026-01-01
"2026-01",NA,34,"huila","extortion",2026-01-01
"2026-01",NA,27,"cundinamarca","extortion",2026-01-01
"2026-01",NA,63,"bolivar","extortion",2026-01-01
"2026-01",NA,9,"caqueta","extortion",2026-01-01
"2026-01",NA,14,"casanare","extortion",2026-01-01
"2026-01",NA,22,"choco","extortion",2026-01-01
"2026-01",NA,39,"cesar","extortion",2026-01-01
"2026-01",NA,7,"quindio","extortion",2026-01-01
"2026-01",NA,25,"santander","extortion",2026-01-01
"2026-01",NA,14,"boyaca","extortion",2026-01-01
